habilidad,pendiente,intercepto,r2,porcentaje_actual,porcentaje_predicho_futuro,tendencia,granularidad,n_periodos
SQL,3.042047558176589,4.518631756534987,0.3005,77.41935483870968,41.023202454654054,Emergente / Crecimiento Rápido,quincenal,12
JavaScript,1.7567535511083896,5.323507883991757,0.2745,12.903225806451612,26.404550497292433,Emergente / Crecimiento Rápido,quincenal,12
Excel,1.5115641526931853,19.832785195688416,0.0989,77.41935483870968,37.97155502800664,No confiable / Pocos datos,quincenal,12
Python,0.5944749694749691,15.859025234025236,0.0296,0.0,22.992724867724867,No confiable / Pocos datos,quincenal,12
Azure,0.5587042885429979,0.6102954691664384,0.1804,3.225806451612903,7.3147469316824125,No confiable / Pocos datos,quincenal,12
React,0.4504791803178897,10.461485945356912,0.0291,3.225806451612903,15.86723610917159,No confiable / Pocos datos,quincenal,12
Tableau,0.20736208236208237,2.1349715099715096,0.0348,0.0,4.623316498316498,No confiable / Pocos datos,quincenal,12
AWS,0.11012508996379951,6.860549844420812,0.0019,3.225806451612903,8.182050923986406,No confiable / Pocos datos,quincenal,12
Kotlin,0.07457819957819949,8.053774928774928,0.0016,0.0,8.94871332371332,No confiable / Pocos datos,quincenal,12
Kubernetes,0.05171128154999116,3.8848681187390874,0.0018,3.225806451612903,4.505403497338982,No confiable / Pocos datos,quincenal,12
Docker,0.014942494781204416,10.393313377184345,0.0001,3.225806451612903,10.572623314558799,No confiable / Pocos datos,quincenal,12
Spring Boot,-0.04620379620379632,5.055708180708181,0.0016,0.0,4.501262626262625,No confiable / Pocos datos,quincenal,12
Linux,-0.06137008153137198,14.281947890818858,0.0004,3.225806451612903,13.545506912442393,No confiable / Pocos datos,quincenal,12
Windows Server,-0.06234133250262286,9.055808289679256,0.0007,3.225806451612903,8.30771229964778,No confiable / Pocos datos,quincenal,12
Swift,-0.1911014612627516,8.580126563997531,0.0154,3.225806451612903,6.286909028844512,No confiable / Pocos datos,quincenal,12
Angular,-0.19959207459207462,5.785256410256411,0.0135,0.0,3.390151515151515,No confiable / Pocos datos,quincenal,12
CSS,-0.20930458430458426,4.218304843304843,0.0367,0.0,1.7066498316498313,No confiable / Pocos datos,quincenal,12
C#,-0.27680652680652684,5.738705738705739,0.016,0.0,2.4170274170274166,No confiable / Pocos datos,quincenal,12
.NET,-0.2861721611721611,5.12057387057387,0.0275,0.0,1.6865079365079367,No confiable / Pocos datos,quincenal,12
Spark,-0.317502837664128,7.552450536321505,0.0732,3.225806451612903,3.7424164843519687,No confiable / Pocos datos,quincenal,12
Power BI,-0.4322066822066823,7.215099715099715,0.0747,0.0,2.0286195286195277,No confiable / Pocos datos,quincenal,12
React Native,-0.44240481740481724,10.897181522181523,0.0414,0.0,5.588323713323716,No confiable / Pocos datos,quincenal,12
R,-0.46862859362859355,6.130698005698005,0.1743,0.0,0.5071548821548832,No confiable / Pocos datos,quincenal,12
Java,-0.46973859473859464,4.949633699633699,0.2307,0.0,0.0,En Declive,quincenal,12
Vue,-0.5724987378213183,7.7290361967781305,0.1042,6.451612903225806,0.8590513429223101,No confiable / Pocos datos,quincenal,12
TypeScript,-0.5918812370425272,9.11940210327307,0.2083,3.225806451612903,2.016827258762744,En Declive,quincenal,12
HTML,-0.6226143927756828,10.728579962450928,0.1192,3.225806451612903,3.257207249142734,No confiable / Pocos datos,quincenal,12
Flutter,-0.63461627977757,10.121640605511573,0.1031,3.225806451612903,2.5062452481807327,No confiable / Pocos datos,quincenal,12
Jira,-0.6548738000350902,23.609379718250686,0.0647,3.225806451612903,15.750894117829603,No confiable / Pocos datos,quincenal,12
Node.js,-0.7357919857919856,15.518416768416767,0.1553,0.0,6.6889129389129405,No confiable / Pocos datos,quincenal,12
PostgreSQL,-0.7627095127095124,14.251119251119249,0.0834,0.0,5.0986050986051,No confiable / Pocos datos,quincenal,12
Cisco,-0.8675777627390528,14.799092782963747,0.1329,3.225806451612903,4.388159630095114,No confiable / Pocos datos,quincenal,12
Scrum,-0.8737789987789983,13.306115181115178,0.1775,0.0,2.820767195767198,No confiable / Pocos datos,quincenal,12
Agile,-0.9773291224904124,17.63817499704596,0.3425,3.225806451612903,5.910225527161014,En Declive,quincenal,12
Git,-1.0425148328374134,35.6200109627529,0.0793,6.451612903225806,23.10983296870394,No confiable / Pocos datos,quincenal,12
